Final_taxon	Label	Total_ASVs	LNHKK35-LP	LNHKK35-LP-COI.LN.Blk1	LNHKK35-LP-COI.LN.Blk2	LNHKK42-LP	LNHKK42-LP-COI.LN.Blk1	LNHKK42-LP-COI.LN.Blk2	LNHKK43-LP-COI.LN.Blk1	LNHKK43-LP-COI.LN.Blk2	LNHKK45-LP	LNHKK45-LP-COI.LN.Blk1	LNHKK45-LP-COI.LN.Blk2	LNHKK47-LP	LNHKK47-LP-COI.LN.Blk2	LNHKK51-LP	LNHKK51-LP-COI.LN.Blk1	LNHKK51-LP-COI.LN.Blk2	LNHKK53-AC-COI.LN.Blk1	LNKWC07-AC	LNKWC07-AC-COI.LN.Blk1	LNKWC07-AC-COI.LN.Blk2	LNKWC08-AC	LNKWC08-AC-COI.LN.Blk1	LNKWC08-AC-COI.LN.Blk2	LNKWC09-AC-COI.LN.Blk1	LNKWC10-AC	LNKWC10-AC-COI.LN.Blk1	LNKWC10-AC-COI.LN.Blk2	LNKWC12-AC	LNKWC12-AC-COI.LN.Blk1	LNKWC12-AC-COI.LN.Blk2	LNKWC13-AC	LNKWC13-AC-COI.LN.Blk1	LNKWC13-AC-COI.LN.Blk2	LNKWC15-AC	LNKWC15-AC-COI.LN.Blk1	LNKWC15-AC-COI.LN.Blk2	LNKWC16-AC	LNKWC16-AC-COI.LN.Blk1	LNKWC16-AC-COI.LN.Blk2	LNKWC17-LP	LNKWC17-LP-COI.LN.Blk1	LNKWC17-LP-COI.LN.Blk2	LNKWC18-LP	LNKWC18-LP-COI.LN.Blk1	LNKWC18-LP-COI.LN.Blk2	LNKWC19-LP	LNKWC19-LP-COI.LN.Blk1	LNKWC19-LP-COI.LN.Blk2	LNKWC20-LP-COI.LN.Blk1	LNKWC21-NA-COI.LN.Blk1	LNKWC22-LP	LNKWC22-LP-COI.LN.Blk2	LNMAW16-AC	LNMAW16-AC-COI.LN.Blk2	LNMAW17-AC-COI.LN.Blk1	LNMAW17-AC-COI.LN.Blk2	LNTYE10-LL	LNTYE10-LL-COI.LN.Blk1	LNTYE10-LL-COI.LN.Blk2	LNTYE11-LL	LNTYE11-LL-COI.LN.Blk1	LNTYE11-LL-COI.LN.Blk2	LNTYE12-LL	LNTYE12-LL-COI.LN.Blk1	LNTYE12-LL-COI.LN.Blk2	LNTYE13-LL	LNTYE13-LL-COI.LN.Blk1	LNTYE13-LL-COI.LN.Blk2	LNTYE14-LL	LNTYE14-LL-COI.LN.Blk1	LNTYE14-LL-COI.LN.Blk2	LNTYE15-LL	LNTYE15-LL-COI.LN.Blk1	LNTYE15-LL-COI.LN.Blk2	LNTYE16-LL	LNTYE16-LL-COI.LN.Blk1	LNTYE16-LL-COI.LN.Blk2	LNTYE17-LP	LNTYE17-LP-COI.LN.Blk1	LNTYE17-LP-COI.LN.Blk2	LNTYE18-LL	LNTYE18-LL-COI.LN.Blk1	LNTYE18-LL-COI.LN.Blk2	LNTYE19-LL	LNTYE19-LL-COI.LN.Blk1	LNTYE19-LL-COI.LN.Blk2	LNTYE20-LL	LNTYE20-LL-COI.LN.Blk1	LNTYE20-LL-COI.LN.Blk2	LNTYE21-LL	LNTYE21-LL-COI.LN.Blk1	LNTYE21-LL-COI.LN.Blk2	LNTYE22-LL-COI.LN.Blk2	LNTYE23-LL	LNTYE23-LL-COI.LN.Blk1	LNTYE23-LL-COI.LN.Blk2	LNTYE24-LL	LNTYE24-LL-COI.LN.Blk1	LNTYE24-LL-COI.LN.Blk2	LNTYE26-LP	LNTYE26-LP-COI.LN.Blk1	LNTYE26-LP-COI.LN.Blk2	Total_read
p__Arthropoda;c__Malacostraca;o__Decapoda;f__Palaemonidae	Prey - Malacostraca	128	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	2	0	8	13	2	0	0	0	0	0	0	0	40	21	9	6	20	5	0	0	3	0	0	0	0	0	0	0	78	0	0	10	0	0	0	53	35	4	17	78	20	0	20	0	24	49	45	0	0	5	2	0	0	361	3	6	0	4	6	0	10	7	13	0	40	5	5	8	23	99	30	0	0	0	11	0	0	0	0	0	0	1211
p__Arthropoda;c__Malacostraca;o__Decapoda;f__Palaemonidae;g__Macrobrachium	Prey - Malacostraca	521	0	0	0	0	99	1940	2	2	0	0	0	0	0	0	0	0	10852	0	14616	11	878	22	739	54842	6719	19	22537	8	696	0	39	94	20	145538	191167	79442	131426	202831	77578	59	126	18	44	119	26	314	299	121	120	193	72	36	237	18	0	0	109047	84955	29569	169487	159351	87736	8576	22144	7075	253243	226794	97874	7318	9313	1479	3900	718	704	31913	14301	9256	91	15974	44	2199	24981	8133	2018	145	2822	6767	7584	9391	4647	4674	4040	109	4014	4628	5644	64	141	68	28	23	57	2386958
p__Arthropoda;c__Malacostraca;o__Decapoda;f__Palaemonidae;g__Macrobrachium;s__dienbienphuense	Prey - Malacostraca	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
p__Arthropoda;c__Malacostraca;o__Decapoda;f__Palaemonidae;g__Macrobrachium;s__hendersoni	Prey - Malacostraca	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	577	353	566	1767	3582	4	18	17	9999	21476	19525	34	106	63	20	0	33	0	31	0	4	56	0	0	0	16	0	4	5	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	58661
p__Arthropoda;c__Malacostraca;o__Decapoda;f__Palaemonidae;g__Macrobrachium;s__lanchesteri	Prey - Malacostraca	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	2	12	10	7	19	11	0	0	6	5	0	7	4	9	7	5	12663	2	0	3727	651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17161
p__Arthropoda;c__Malacostraca;o__Decapoda;f__Palaemonidae;g__Macrobrachium;s__niphanae	Prey - Malacostraca	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	6	8	49	34	24	32	26	16	7	6	3	11	6	4	50	12	9	0	20623	11	0	26450	804	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48396
p__Arthropoda;c__Malacostraca;o__Decapoda;f__Parathelphusidae	Prey - Malacostraca	35	0	15	3	0	45	5	1054	0	0	0	2	0	6	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	12	24	16	447	776	420	7339	17000	6524	2	202	10	4	10	11	62	367	216	315	11121	0	21	5467	4939	4499	3696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64694
p__Arthropoda;c__Malacostraca;o__Decapoda;f__Potamidae	Prey - Malacostraca	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	792	11	11085	8	9218	314	1313	54	1437	41	6093	0	14939	15917	7481	1444	1823	937	4303	5390	2673	0	0	0	3	2	0	0	0	0	3	0	2	0	2	0	16	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	92	0	0	7	0	3	0	6	5	2	4	0	0	0	3	0	0	7	85508
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Channidae	Prey - Fish	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	13	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Channidae;g__Channa	Prey - Fish	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	9	0	176	89	29	67	25	26	9	7	19	44	37	33	99	90	49	252	19167	246	73	34381	2762	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	57765
