Final_taxon	Label	Total_ASVs	PVKR001	PVKR001-16S.PV.Blk1	PVKR001-16S.PV.Blk3	PVKR002	PVKR002-16S.PV.Blk1	PVKR003	PVKR003-16S.PV.Blk1	PVKR003-16S.PV.Blk3	PVKR004	PVKR004-16S.PV.Blk1	PVKR004-16S.PV.Blk3	PVKR005	PVKR005-16S.PV.Blk1	PVKR005-16S.PV.Blk3	PVKR006	PVKR006-16S.PV.Blk1	PVKR006-16S.PV.Blk3	PVKR007	PVKR007-16S.PV.Blk1	PVKR007-16S.PV.Blk3	PVKR008	PVKR008-16S.PV.Blk1	PVKR008-16S.PV.Blk3	PVKR009	PVKR009-16S.PV.Blk1	PVKR010	PVKR010-16S.PV.Blk1	PVKR010-16S.PV.Blk3	PVKR011	PVKR011-16S.PV.Blk1	PVKR011-16S.PV.Blk3	PVKR012	PVKR012-16S.PV.Blk1	PVKR012-16S.PV.Blk3	PVKR013	PVKR013-16S.PV.Blk1	PVKR013-16S.PV.Blk3	PVKR014	PVKR014-16S.PV.Blk1	PVKR014-16S.PV.Blk3	PVKR021	PVKR021-16S.PV.Blk1	PVKR021-16S.PV.Blk3	PVKR022	PVKR022-16S.PV.Blk3	PVKR023	PVKR023-16S.PV.Blk1	PVKR023-16S.PV.Blk3	PVKR024	PVKR024-16S.PV.Blk1	PVKR024-16S.PV.Blk3	PVKR025	PVKR025-16S.PV.Blk1	PVKR025-16S.PV.Blk3	PVKR026	PVKR026-16S.PV.Blk1	PVKR026-16S.PV.Blk3	PVKR027	PVKR027-16S.PV.Blk1	PVKR027-16S.PV.Blk3	PVKR028	PVKR028-16S.PV.Blk1	PVKR028-16S.PV.Blk3	PVKR029	PVKR029-16S.PV.Blk3	Total_read
p__Chordata;c__Mammalia;o__Carnivora;f__Canidae;g__Canis;s__lupus	Artifact (Carnivora) - Cuon alpinus	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	44	35	0	0	0	0	0	0	211	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325
p__Chordata;c__Mammalia;o__Carnivora;f__Felidae	Artifact (Carnivora) - Felidae	53	273	494	137	909	1215	25	34	717	50	34	148	20	71	27	211	99	166	1088	3744	2034	24	33	30	0	70	0	135	21	72	130	9	237	344	123	31	0	5	1353	59	1809	30	8	0	9191	1195	11	7	36	16	16	414	18	0	0	6	0	4	0	0	0	6	0	0	0	0	26939
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae	Artifact (Carnivora) - Mustelidae	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	17	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44
p__Chordata;c__Mammalia;o__Carnivora;f__Felidae;g__Neofelis	Artifact (Carnivora) - Neofelis sp.	18	428	4984	1081	724	14858	25	60	19	45	6	76	22	17	39	412	66	102	1350	3820	3121	45	6	26	8	6	7	16	10	5	16	60	18	29	81	10	10	34	3951	646	2152	14	5	21	15	195	4	7	48	5	2	18401	0	4	10	6	3	6	6	0	8	7	0	0	13	0	57171
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Aonyx	Artifact (Carnivora) - Otter	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	4	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Aonyx;s__cinereus	Artifact (Carnivora) - Otter	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	58289	100	0	14706	77	0	84	54	0	16	45	0	169442	110494	0	4489	0	59	103	0	3772	113	0	89	26	0	103	15	0	0	0	0	0	0	0	0	362079
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Lutra	Artifact (Carnivora) - Otter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Lutra;s__lutra	Artifact (Carnivora) - Otter	4	0	7	0	0	21	0	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	1194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1829
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Lutrogale	Artifact (Carnivora) - Otter	2	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Lutrogale;s__perspicillata	Artifact (Carnivora) - Otter	9	0	745	0	0	251	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	323	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2347
p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Hylarana	Prey - Amphibian	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	40	0	0	0	0	0	5	0	0	595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838
p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Hylarana;s__nigrovittata	Prey - Amphibian	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	70	0	293	108	0	50	38	0	21	31	0	250265	113708	0	2256	0	14	29	0	22	37	0	8	13	0	33	13	0	0	0	0	0	0	0	0	367128
p__Chordata;c__Aves;o__Anseriformes;f__Anatidae;g__Dendrocygna	Prey - Aves	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
p__Chordata;c__Aves;o__Anseriformes;f__Anatidae;g__Dendrocygna;s__javanica	Prey - Aves	7	0	0	3	7	0	2	13	4	3	5	0	3	2	13	20	17	27	0	5	6	738	802	1884	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3556
p__Chordata;c__Aves;o__Charadriiformes	Prey - Aves	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
p__Chordata;c__Aves;o__Charadriiformes;f__Glareolidae;g__Glareola	Prey - Aves	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6
