Final_taxon	Label	Total_ASVs	PVKR001	PVKR001-16S.PV.Blk1	PVKR001-16S.PV.Blk3	PVKR002	PVKR002-16S.PV.Blk1	PVKR003	PVKR003-16S.PV.Blk1	PVKR003-16S.PV.Blk3	PVKR004	PVKR004-16S.PV.Blk1	PVKR004-16S.PV.Blk3	PVKR005	PVKR005-16S.PV.Blk1	PVKR005-16S.PV.Blk3	PVKR006	PVKR006-16S.PV.Blk1	PVKR006-16S.PV.Blk3	PVKR007	PVKR007-16S.PV.Blk1	PVKR007-16S.PV.Blk3	PVKR008	PVKR008-16S.PV.Blk1	PVKR008-16S.PV.Blk3	PVKR009	PVKR009-16S.PV.Blk1	PVKR010	PVKR010-16S.PV.Blk1	PVKR010-16S.PV.Blk3	PVKR011	PVKR011-16S.PV.Blk1	PVKR011-16S.PV.Blk3	PVKR012	PVKR012-16S.PV.Blk1	PVKR012-16S.PV.Blk3	PVKR013	PVKR013-16S.PV.Blk1	PVKR013-16S.PV.Blk3	PVKR014	PVKR014-16S.PV.Blk1	PVKR014-16S.PV.Blk3	PVKR021	PVKR021-16S.PV.Blk1	PVKR021-16S.PV.Blk3	PVKR022	PVKR022-16S.PV.Blk3	PVKR023	PVKR023-16S.PV.Blk1	PVKR023-16S.PV.Blk3	PVKR024	PVKR024-16S.PV.Blk1	PVKR024-16S.PV.Blk3	PVKR025	PVKR025-16S.PV.Blk1	PVKR025-16S.PV.Blk3	PVKR026	PVKR026-16S.PV.Blk1	PVKR026-16S.PV.Blk3	PVKR027	PVKR027-16S.PV.Blk1	PVKR027-16S.PV.Blk3	PVKR028	PVKR028-16S.PV.Blk1	PVKR028-16S.PV.Blk3	PVKR029	PVKR029-16S.PV.Blk3	Total_read
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Channidae	Prey - Fish	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Channidae;g__Channa	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	214	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Channidae;g__Channa;s__striata	Prey - Fish	22	34	5	6	94	19	68	0	17	38	7	4	64	6	7	63	0	3	30	1870	1312	25	0	0	18181	0	28	0	4	0	7	14	0	57	52	0	8	0	0	5	0	0	4	0	0	8763	0	5	6	0	0	3	0	9	0	0	3	2	0	0	0	0	0	0	0	0	30823
p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae	Prey - Fish	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0	0	22	5	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	72
p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae;g__Oreochromis	Prey - Fish	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42279	7	16	8889	10	25	51	28	51305
p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae;g__Sarotherodon	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	55
p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae;g__Sarotherodon;s__melanotheron	Prey - Fish	33	0	4	2770	0	40	2	11	18	99	2721	355	4	32	12	0	6	3	0	310	28	0	0	9	3	1080	0	0	0	16	28	57	24	128	135	8	17	15	3621	13599	10498	4	39	45	4	10	0	4849	33889	3	6	22	0	15043	4	4	10	10	0	0	0	0	0	0	0	0	89595
p__Chordata;c__Actinopteri;o__Cypriniformes	Prey - Fish	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	17	26	0	3	3	0	0	7	0	3363	4671	0	26	0	4	0	0	0	4	0	27	0	0	0	5	0	0	0	0	0	0	0	0	8167
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae	Prey - Fish	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	7	0	3002	0	0	3044	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	6125
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Barbonymus	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	3121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3137
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Barbonymus;s__gonionotus	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	3431	25	0	182	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	3666
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Cyclocheilichthys	Prey - Fish	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	47	0	0	0	0	0	0	0	1198	10	0	10174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11449
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Henicorhynchus;s__siamensis	Prey - Fish	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	3744	0	0	5	0	6	0	0	3	0	0	0	0	0	0	0	0	0	50	5	9	82	4	27	35	31127	35111
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Labiobarbus	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	19
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Labiobarbus;s__spilopleura	Prey - Fish	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	36	0	0	0	0	0	8	0	0	1382	169	0	0	0	0	0	0	0	0	0	8070	0	0	0	0	0	0	0	0	0	0	0	0	9672
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Mystacoleucus;s__marginatus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Osteochilus	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Scaphiodonichthys;s__burmanicus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
p__Chordata;c__Actinopteri;o__Gobiiformes	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Eleotridae;g__Oxyeleotris	Prey - Fish	2	0	0	0	0	0	0	0	1737	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1742
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Eleotridae;g__Oxyeleotris;s__marmorata	Prey - Fish	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae	Prey - Fish	23	0	0	4	0	0	0	0	6	0	0	0	0	0	3	0	0	3	0	0	2	0	0	2	0	0	0	0	0	77716	78901	56864	15091	18366	62	67	23	14	36	4	8	39	59	21	76	16	25	9	13	41	5	21	8	14	0	36	24	6	0	0	0	0	0	0	0	0	247585
p__Chordata;c__Actinopteri;o__Osteoglossiformes	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
p__Chordata;c__Actinopteri;o__Siluriformes	Prey - Fish	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
p__Chordata;c__Actinopteri;o__Siluriformes;f__Bagridae;g__Hemibagrus	Prey - Fish	5	0	504	0	0	155	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	663
p__Chordata;c__Actinopteri;o__Siluriformes;f__Plotosidae;g__Paraplotosus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
p__Chordata;c__Actinopteri;o__Siluriformes;f__Plotosidae;g__Paraplotosus;s__albilabris	Prey - Fish	35	20767	214127	135537	7345	43021	148	133	154	52	47	83	62	123	139	85	38	62	54	97	86	64	13	65	21116	348	45	35	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443868
p__Arthropoda;c__Insecta;o__Diptera	Prey - Insect	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6
p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae	Prey - Insect	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180
p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tineidae	Prey - Insect	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
p__Chordata;c__Lepidosauria;o__Squamata	Prey - Reptile	7	982	10931	8679	472	2833	5	11	7	2	3	2	2	11	9	2	0	7	0	6	8	0	0	0	5	0	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23988
p__Chordata;c__Lepidosauria;o__Squamata;f__Acrochordidae;g__Acrochordus;s__granulatus	Prey - Reptile	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143048	0	0	87	0	0	25	0	0	23	0	0	47	0	3	0	0	37	0	0	32	0	0	5	0	0	13	0	0	0	0	0	0	0	0	143320
p__Chordata;c__Lepidosauria;o__Squamata;f__Gekkonidae;g__Hemidactylus;s__frenatus	Prey - Reptile	1	0	0	12	0	0	0	0	6	0	0	0	0	14	2281	0	0	0	0	0	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2326
p__Chordata;c__Mammalia;o__Eulipotyphla;f__Soricidae;g__Crocidura;s__fuliginosa	Prey - Rodent	1	0	57	5	4	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230
p__Chordata;c__Mammalia;o__Rodentia;f__Muridae	Prey - Rodent	11	2	0	11	0	25	13	108	47	0	0	0	0	0	5	0	40	60	0	3	9	0	0	0	0	12	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341
p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Bandicota	Prey - Rodent	82	37	34	247	66	297	24359	93919	54003	29	27	78	29	70	97	2046	32187	40194	11	71	88	19	15	69	3	0	59	1571	478	4573	74656	41594	10153	212703	120757	20759	156934	93312	20	38	27	12	209	74	27	22	0	17	97	11	11	79	8932	12	14	13	40	24	58	0	19	76	5	36	5901	17063	1018381
p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Bandicota;s__bengalensis	Prey - Rodent	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Maxomys	Prey - Rodent	6	916	4654	495	3194	15390	12	54	15	0	5	2	4	7	0	10	14	14	5	18	7	5	0	0	0	0	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24835
p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Maxomys;s__surifer	Prey - Rodent	1	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98
p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__caroli	Prey - Rodent	7	0	5	3	35	39	2439	6186	4639	5	0	4	2	0	6	0	0	6	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13379
