Final_taxon	Label	Total_ASVs	LNHKK01 (LP)	LNHKK02 (LP)	LNHKK32 (LP)	LNHKK33 (LP)	LNHKK34 (LP)	LNHKK35 (LP)	LNHKK36 (LP)	LNHKK39 (LP)	LNHKK42 (LP)	LNHKK43 (LP)	LNHKK44 (LL)	LNHKK45 (LP)	LNHKK46 (LL)	LNHKK47 (LP)	LNHKK48 (LL)	LNHKK49 (LL)	LNHKK51 (LP)	LNHKK52 (LL)	LNHKK54 (LL)	LNKB139 (LP)	LNKB140 (LP)	LNKB142 (AC)	LNKB143 (AC)	LNKB144 (LP)	LNKB145 (AC)	LNKB146 (LP)	LNKB147 (LP)	LNKB148 (AC)	LNKB149 (LP)	LNKB150 (LP)	LNKB151 (LP)	LNKBMG036 (AC)	LNKBMG048 (AC)	LNKBMG049 (AC)	LNKBMG050 (AC)	LNKBMG091 (AC)	LNKBMG133 (AC)	LNKLA01 (LP)	LNKWC03 (LP)	LNKWC05 (LP)	LNKWC11 (AC)	LNKWC16 (AC)	LNMAW01 (LP)	LNMAW02 (LP)	LNMAW08 (LP)	LNMAW09 (LP)	LNMAW10 (LP)	LNMAW12 (LP)	LNNKS14 (AC)	LNNKS15 (AC)	LNNKS16 (AC)	LNNKS17 (AC)	LNPTL07 (AC)	LNPTL08 (LP)	LNPTL09 (AC)	LNPTL10 (LP)	LNPTL11 (LP)	LNPTL12 (LP)	LNPTL13 (LP)	LNPTL14 (LP)	LNPTL15 (LP)	LNPTL17 (LP)	LNPTL18 (LP)	LNPTL19 (LP)	LNPTL20 (AC)	LNPTL21 (AC)	LNPTL22 (AC)	LNPTL24 (LP)	LNSK18 (AC)	LNSK19 (AC)	LNSK20 (AC)	LNSK21 (LP)	LNSK22 (LP)	LNSK23 (LP)	LNSK24 (AC)	LNSK25 (LP)	LNSK26 (LP)	LNSK29 (AC)	LNSK30 (AC)	LNSK31 (LP)	LNSK32 (LP)	LNSK33 (LP)	LNSK34 (LP)	LNSK35 (AC)	LNSK37 (LP)	LNSK38 (AC)	LNSK40 (AC)	LNSK41 (AC)	LNSK42 (AC)	LNSK43 (LP)	LNSK44 (LP)	LNSK45 (LP)	LNSK46 (AC)	LNSK47 (AC)	LNSK48 (AC)	LNSTU34 (AC)	LNSTU35 (LP)	LNSTU36 (AC)	LNSTU37 (LP)	LNSTU38 (LP)	LNSTU39 (AC)	LNSTU40 (AC)	LNSTU41 (LP)	LNSTU42 (LP)	LNSTU43 (LP)	LNSTU44 (LP)	LNSTU45 (LP)	LNSTU46 (AC)	LNSTU47 (AC)	LNSTU48 (AC)	LNSTU49 (LP)	LNTR100 (LP)	LNTR101 (LP)	LNTR102 (LP)	LNTR85 (LP)	LNTR86 (LP)	LNTR87 (LP)	LNTR88 (AC)	LNTR89 (LP)	LNTR90 (AC)	LNTR91 (LP)	LNTR92 (AC)	LNTR93 (AC)	LNTR94 (LP)	LNTR95 (LP)	LNTR96 (LP)	LNTR97 (LP)	LNTR98 (LP)	LNTR99 (LP)	LNTYE17 (LP)	LNTYE21 (LL)	LNTYE22 (LL)	LNTYE23 (LL)	LNTYE24 (LL)	LNUMP02 (LP)	Total_read
p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Epinephelus	Prey - Fish	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46870	205	117	73	104	94	21170	99	24	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	447	9	4	0	13	400	10	2322	13	0	0	0	0	0	0	0	19	0	0	0	0	0	5	11	2909	1	3	621	22	3	0	0	0	0	0	0	0	75695
p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Epinephelus;s__coeruleopunctatus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	11
p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Epinephelus;s__coioides	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Epinephelus;s__sexfasciatus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
p__Chordata;c__Actinopteri;o__Scombriformes;f__Scombropidae	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
p__Chordata;c__Actinopteri;o__Siluriformes	Prey - Fish	4	0	0	0	0	0	8	0	0	54	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85
p__Chordata;c__Actinopteri;o__Siluriformes;f__Ariidae	Prey - Fish	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	193	10	1	15	40	23	365	17	2058	4	16	0	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	17	11	0	16	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	567	161	81	81	0	60	303	8861	3521	118	11810	149	0	0	4	0	0	2948	3	0	2074	0	0	0	0	0	10	34127
p__Chordata;c__Actinopteri;o__Siluriformes;f__Ariidae;g__Arius	Prey - Fish	50	0	0	326	0	2	5	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	28	0	0	0	0	0	0	5	0	14	642	86	25	61	407	34	7312	1757	26980	39	80	121	35	5856	1158	21	15	7	695	49	46	55	48450	31	98	19	63	0	0	0	8	0	0	0	0	354	68	167	102	38	157	119	27712	31	164	6	0	0	0	0	0	0	0	0	0	0	0	0	35	168	132	57	26	5092	14362	102	88	32	123	22	17175	50	308	44	0	35	8698	30	9789	24	15	0	0	0	0	30	180075
p__Chordata;c__Actinopteri;o__Siluriformes;f__Ariidae;g__Arius;s__maculatus	Prey - Fish	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	3	0	0	0	2282	0	0	0	0	741	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3042
p__Chordata;c__Actinopteri;o__Siluriformes;f__Ariidae;g__Arius;s__oetik	Prey - Fish	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	77	47	0	0	0	239	7045	4	1260	5570	73	45	47	48	19	39	14972	22	67	0	0	0	0	0	0	0	29626
