Final_taxon	Label	Total_ASVs	LNHKK59_12S_OBS1	LNHKK61_12S_OBS1	LNHKK62_12S_OBS1	LNHKK63_12S_OBS1	LNHKK64_12S_OBS1	LNHKK65_12S_OBS1	LNHKK66_12S_OBS1	LNHKK67_12S_OBS1	LNHKK69_12S_OBS1	LNHKK70_12S_OBS1	LNHKK71_12S_OBS1	LNHKK73_12S_OBS1	LNKB147_12S_OBS1	LNKB148_12S_OBS1	LNKB149_12S_OBS1	LNKWC17_12S_OBS1	LNKWC18_12S_OBS1	LNKWC19_12S_OBS1	LNKWC20_12S_OBS1	LNKWC21_12S_OBS1	LNKWC22_12S_OBS1	LNKWC23_12S_OBS1	LNKWC24_12S_OBS1	LNMAW11_12S_OBS1	LNMAW13_12S_OBS1	LNMAW14_12S_OBS1	LNMAW15_12S_OBS1	LNMAW16_12S_OBS1	LNMAW17_12S_OBS1	LNMAW18_12S_OBS1	LNMAW19_12S_OBS1	LNNKS15_12S_OBS1	LNNKS16_12S_OBS1	LNNKS17_12S_OBS1	LNSK15_12S_OBS1	LNSK16_12S_OBS1	LNSK17_12S_OBS1	LNSK20_12S	LNSK24_12S	LNSK28_12S_OBS1	LNSK46_12S	LNSK46_12S_OBS1	LNSK47_12S	LNSTU34_12S_OBS1	LNSTU37_12S_OBS1	LNSTU40_12S_OBS1	LNSTU41_12S_OBS1	LNSTU47_12S_OBS1	LNTYE25_12S_OBS1	LNTYE26_12S_OBS1	LNTYE27_12S_OBS1	LNTYE29_12S_OBS1	LNTYE30_12S_OBS1	LNTYE31_12S_OBS1	LNTYE33_12S_OBS1	LNTYE34_12S_OBS1	LNTYE35_12S_OBS1	LNTYE36_12S_OBS1	LNTYE38_12S_OBS1	LNTYE40_12S_OBS1	LNTYE41_12S_OBS1	LNTYE43_12S_OBS1	LNTYE45_12S_OBS1	LNTYE47_12S_OBS1	LNTYE48_12S_OBS1	LNTYE49_12S_OBS1	Total_read
p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Hylarana;s__erythraea	Prey - Amphibia	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	10	20	32	10	20	0	0	0	0	0	0	0	0	0	1563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1679
p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Hylarana;s__nigrovittata	Prey - Amphibia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5721	0	1266	0	459	1964	0	0	9031	0	18441
p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Odorrana;s__zhaoi	Prey - Amphibia	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	360	0	0	0	0	0	32	5	21	9	5475	25	7	21	695	43	7073
p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Wijayarana;s__melasma	Prey - Amphibia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	15	73	21	45	76	23	43	8931	712	10005
p__Chordata;c__Amphibia;o__Anura;f__Rhacophoridae;g__Polypedates	Prey - Amphibia	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
p__Chordata;c__Amphibia;o__Anura;f__Rhacophoridae;g__Polypedates;s__impresus	Prey - Amphibia	2	23	29	15	13	17	19784	8	11	14	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	12	4259	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24206
p__Chordata;c__Aves;o__Galliformes;f__Phasianidae;g__Pavo	Prey - Aves	1	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
p__Chordata;c__Aves;o__Gruiformes;f__Rallidae;g__Porphyrio	Prey - Aves	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	2161	0	0	0	6	0	4	2182
p__Chordata;c__Aves;o__Passeriformes	Prey - Aves	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	7	0	84
p__Chordata;c__Aves;o__Passeriformes;f__Petroicidae;g__Peneothello;s__sigillata	Prey - Aves	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
p__Chordata;c__Aves;o__Passeriformes;f__Pycnonotidae;g__Iole;s__propinqua	Prey - Aves	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
p__Chordata;c__Aves;o__Passeriformes;f__Pycnonotidae;g__Pycnonotus;s__melanicterus	Prey - Aves	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
p__Chordata;c__Aves;o__Passeriformes;f__Turdidae;g__Erithacus;s__rubecula	Prey - Aves	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
p__Chordata;c__Aves;o__Pelecaniformes;f__Ardeidae;g__Ardea;s__cinerea	Prey - Aves	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
p__Chordata;c__Aves;o__Pelecaniformes;f__Ardeidae;g__Ardeola;s__bacchus	Prey - Aves	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
p__Chordata;c__Aves;o__Pelecaniformes;f__Ardeidae;g__Butorides;s__striata	Prey - Aves	1	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161
p__Chordata;c__Aves;o__Pelecaniformes;f__Ardeidae;g__Nycticorax;s__nycticorax	Prey - Aves	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	32	40	41029	15	16	0	0	0	0	0	0	6	19	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41203
p__Chordata;c__Aves;o__Strigiformes;f__Strigidae;g__Bubo;s__flavipes	Prey - Aves	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	181	176	78	54	217	96	5242	64577	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70952
p__Chordata;c__Aves;o__Suliformes;f__Phalacrocoracidae;g__Phalacrocorax	Prey - Aves	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	20	23	22	11267	13	2	10	9	9	0	0	31	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11418
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Anabantidae	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Anabantidae;g__Anabas	Prey - Fish	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	10	112	2466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2636
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Anabantidae;g__Anabas;s__testudineus	Prey - Fish	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	75	94	131	40	57	296	136	180	741	123223	463	674	20	12034	7276	46184	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191708
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Channidae	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Channidae;g__Channa	Prey - Fish	36	0	0	0	0	0	722	0	63	0	93	0	7	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	515	1026	11700	1196	0	0	0	0	0	951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	1752	0	370	0	805	0	0	0	0	0	0	19425
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Channidae;g__Channa;s__gachua	Prey - Fish	6	367	1519	374	3750	23302	38392	4223	30791	5602	20646	1195	425	0	0	0	516	281	9663	52	17	58613	29	135	45	86	859	971	191878	38618	59504	70932	0	0	0	0	0	10990	0	0	0	2772	0	311	0	0	0	0	0	816	96	114	640	2321	116	20631	2002	241	25462	1120	43751	2469	253	65	29437	1717	170	708279
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Channidae;g__Channa;s__micropeltes	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	15	20	21	54	12	0	0	8361	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8537
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Channidae;g__Channa;s__striata	Prey - Fish	8	0	0	0	0	28	0	0	0	0	0	33	50	0	0	0	85	157	159	15382	31	140	32	80	50	24520	19	63	19	10	16	16	20	15	15	32	53	4358	0	1762	6064	0	33	0	0	0	0	0	0	12	20	13	31	2655	12	18	5	0	5	9	3392	7	5	0	4	4	0	59434
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Osphronemidae;g__Trichopodus	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	181	290	167	100	155	26	6	19	75	151	24	11709	113	103	9245	18192	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40833
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Osphronemidae;g__Trichopsis;s__vittata	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	125	96	124	70	114	0	0	0	0	0	20	1542	33	34	26	0	8114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10405
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Pristolepididae;g__Pristolepis	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	11	4005	0	7	0	17	10	12	4070
p__Chordata;c__Actinopteri;o__Anabantiformes;f__Pristolepididae;g__Pristolepis;s__fasciata	Prey - Fish	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	5	0	0	0	399	17896	286	227	60	90	140	47	21	37	61	148	186	25	18680	18831	43	107	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57559
p__Chordata;c__Actinopteri;o__Anguilliformes;f__Ophichthidae;g__Pisodonophis;s__boro	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	0	5	6	4698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4722
p__Chordata;c__Actinopteri;o__Batrachoidiformes;f__Batrachoididae;g__Batrachomoeus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	34	8	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5585	8	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5752
p__Chordata;c__Actinopteri;o__Beloniformes;f__Belonidae	Prey - Fish	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
p__Chordata;c__Actinopteri;o__Beloniformes;f__Belonidae;g__Xenentodon;s__cancila	Prey - Fish	7	144	7521	207	1281	99	193	133	221	34093	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63098	190	173	58	34	87	0	0	0	0	0	234	26	57	0	46	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108079
p__Chordata;c__Actinopteri;o__Chaetodontiformes;f__Leiognathidae;g__Leiognathus;s__equula	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2357
p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae	Prey - Fish	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	3	0	3	2	1	0	5	10	0	120	1948	3715	0	147	196	1	12	0	0	660	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6833
p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae;g__Oreochromis	Prey - Fish	12	0	0	0	0	0	0	0	0	0	0	0	0	31288	302	811	25	40	43	30	12306	46	21	39	13	21	21	19	13	0	0	0	0	0	0	173	9	0	0	2004	0	0	0	0	301	87342	350	152	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135548
p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae;g__Oreochromis;s__niloticus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177
p__Chordata;c__Actinopteri;o__Clupeiformes;f__Engraulidae;g__Thryssa;s__hamiltonii	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	0	92	41	48014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	75	74	22	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48391
p__Chordata;c__Actinopteri;o__Cypriniformes	Prey - Fish	6	80	83	0	7	6	0	187	6	326	0	14	0	0	0	0	0	0	6	0	0	0	0	0	1459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	7	6	1012	75	1624	4	51	0	0	0	0	0	0	0	0	0	0	4963
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Balitoridae	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	25	110	44	69	82	29	112	101	22416	23083
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Botiidae;g__Sinibotia	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cobitidae;g__Lepidocephalichthys;s__berdmorei	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	6	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1487	68	30	90	10	0	215	344	0	1032	3	3	7	0	4	5	0	3341
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae	Prey - Fish	62	0	2834	1	0	0	1824	0	0	0	0	1519	890	0	0	0	2588	92265	14504	325	12734	76671	47355	105664	24777	17389	25651	82663	310	79	48	132	78	46	41	284	30352	3078	27	63	1735	70	12671	31	0	0	0	0	0	45962	124603	107449	69362	17962	68799	42289	7519	19818	196	21910	5594	5146	76946	18655	93132	34812	16443	1335296
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Altigena;s__elegans	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Barbonymus;s__altus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	9	40	22824	32	0	0	43	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23021
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Cyclocheilos;s__enoplos	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Garra;s__motuoensis	Prey - Fish	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	4114	4895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9059
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Hampala;s__macrolepidota	Prey - Fish	11	71	0	0	0	0	0	0	0	0	0	53	47	0	0	0	118918	56209	119587	123	148	627	164	370	203	203	0	0	0	0	0	0	0	0	0	0	0	515	0	0	31	0	0	0	0	0	0	0	0	27	67	47	16562	146	10182	243	59	0	0	0	0	0	0	0	0	0	0	324602
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Labiobarbus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	9	931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1193	423	0	15	0	0	0	0	0	0	0	0	0	0	0	2583
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Mystacoleucus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Mystacoleucus;s__marginatus	Prey - Fish	16	52338	127952	74833	12966	13966	21987	22640	22440	11639	3421	64203	268	0	0	0	0	0	390	0	0	0	0	0	0	15	64	22	0	0	0	0	0	0	0	0	27	5666	0	0	0	0	0	0	0	0	0	0	0	129	272	375	26462	3288	2707	11543	4192	0	0	0	0	0	0	0	0	0	0	483805
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Osteochilus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Osteochilus;s__hasseltii	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	30	9	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	14	12	6	13	22	15	5551	0	0	0	0	0	0	0	0	0	0	5702
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Puntigrus	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Puntigrus;s__partipentazona	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Puntius	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Puntius;s__brevis	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	0	36	27366	14	0	0	0	0	0	0	0	0	0	0	25	55	27	55	26	29	0	0	0	0	0	0	4	6	32	2341	0	0	10	18	10	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30071
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Scaphiodonichthys	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	377	384	58	77	6534	21887	17766	135	96	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	28	0	9	8	1572	193	621	206	50435
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Sikukia;s__flavicaudata	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2897
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Systomus	Prey - Fish	8	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	26555	89	3071	30	23	133	22	110	44	22	0	0	146	0	5836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36656
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Systomus;s__sarana	Prey - Fish	2	17	30	22	0	0	21	0	884	0	1579	0	0	0	0	0	251	246	250	9899	57	56985	961	166	76	7287	24093	48819	77505	108	108	2341	0	0	0	0	0	1630	43	111	0	77	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233619
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Tor	Prey - Fish	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1731
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Danionidae	Prey - Fish	5	354	1136	246	186	4128	233	12756	5597	2998	4229	13286	361	0	0	0	0	0	109	0	0	0	0	0	0	454	5	19	29	52	27	36	0	0	0	0	5	878	10	0	0	1344	0	0	0	0	0	0	0	128	281	282	55867	7398	43874	5607	23451	0	0	0	0	0	0	0	0	0	0	185366
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Danionidae;g__Danio	Prey - Fish	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	33	14375	4	9	12	0	0	0	0	0	212	0	2	0	8	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14684
p__Chordata;c__Actinopteri;o__Cypriniformes;f__Danionidae;g__Devario	Prey - Fish	3	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2548	50270	7853	241	338	144	67	91	10503	14	677	11	20	4905	8	50	15	2129	79998
